id,ss_milestone_categories_id,study_setup_type,completion_type,name,order,is_active,created_at
1,1,external,manual,Enter Study Name,1,1,2025-12-08 04:18:31
2,1,external,manual,Enter Phase,2,1,2025-12-08 04:18:31
3,1,external,manual,Enter Protocol Number,3,1,2025-12-08 04:18:31
4,1,external,manual,Enter Therapeutic Area,4,1,2025-12-08 04:18:31
5,1,external,manual,Enter Sponsor Information,5,1,2025-12-08 04:18:31
6,1,external,manual,Enter CRO Information,6,1,2025-12-08 04:18:31
7,1,external,manual,Enter IRB Information,7,1,2025-12-08 04:18:31
8,1,external,manual,Upload Latest Protocol Version,8,1,2025-12-08 04:18:31
9,2,external,manual,Assign Project Manager,1,1,2025-12-08 04:18:31
10,2,external,manual,Assign CRA(s),2,1,2025-12-08 04:18:31
11,2,external,manual,Assign Regulatory Lead,3,1,2025-12-08 04:18:31
12,2,external,manual,Assign Contract & Budget Lead,4,1,2025-12-08 04:18:31
13,2,external,manual,Assign Finance Lead,5,1,2025-12-08 04:18:31
14,2,external,manual,Assign Data Manager,6,1,2025-12-08 04:18:31
15,2,external,manual,Assign Medical Monitor,7,1,2025-12-08 04:18:31
16,2,external,manual,Assign Primary CRC,8,1,2025-12-08 04:18:31
17,2,external,manual,Assign Primary RX,9,1,2025-12-08 04:18:31
18,3,external,manual,Add Site(s),1,1,2025-12-08 04:18:31
19,3,external,manual,Add Principal Investigator Information,2,1,2025-12-08 04:18:31
20,3,external,manual,Add Sub-Investigators,3,1,2025-12-08 04:18:31
21,3,external,auto,Add Study Coordinator,4,1,2025-12-08 04:18:31
22,3,external,auto,Add Backup Study Coordinator,5,1,2025-12-08 04:18:31
23,3,external,auto,Add Site Address & IRB Affiliation,6,1,2025-12-08 04:18:31
24,4,external,auto,Set up Study Workflow,1,1,2025-12-08 04:18:31
25,4,internal,auto,Set Enrollment Target,2,1,2025-12-08 04:18:31
26,4,internal,auto,Approve Study Setup Completion,3,1,2025-12-08 04:18:31
27,4,internal,auto,Set Enrollment Plan and Pace,4,1,2025-12-08 04:18:31
28,5,internal,auto,Send the feasibility questionnaire,1,1,2025-12-08 04:18:31
29,5,internal,auto,Receive questionnaire response,2,1,2025-12-08 04:18:31
30,5,internal,auto,Conduct a feasibility call,3,1,2025-12-08 04:18:31
31,5,internal,auto,Review feasibility results,4,1,2025-12-08 04:18:31
32,5,internal,auto,Upload the feasibility assessment report,5,1,2025-12-08 04:18:31
33,6,internal,auto,Schedule Site Qualification Visit (SQV),1,1,2025-12-08 04:18:31
34,6,internal,auto,Conduct SQV,2,1,2025-12-08 04:18:31
35,6,internal,auto,Assess facility capabilities,3,1,2025-12-08 04:18:31
36,6,internal,auto,Assess equipment & staffing availability,4,1,2025-12-08 04:18:31
37,7,internal,auto,Approve the site for selection,1,1,2025-12-08 04:18:31
38,7,internal,auto,Upload the site approval form,2,1,2025-12-08 04:18:31
39,7,internal,auto,Add selected site to CTMS,3,1,2025-12-08 04:18:31
40,7,internal,auto,Notify the site of selection,4,1,2025-12-08 04:18:31
41,8,internal,auto,Upload IRB/IEC Submission Packet,1,1,2025-12-08 04:25:00
42,8,internal,auto,Enter IRB/IEC Submission Date,2,1,2025-12-08 04:25:00
43,8,internal,manual,Upload Local Regulatory,3,1,2025-12-08 04:25:00
44,8,internal,manual,Regulatory Received Date,4,1,2025-12-08 04:25:00
45,8,internal,manual,Stipend Received Date,5,1,2025-12-08 04:25:00
46,8,internal,manual,Location of the Outsourced Procedure,6,1,2025-12-08 04:25:00
47,8,internal,manual,SSU Checklist,7,1,2025-12-08 04:25:00
48,9,internal,manual,Track IRB Queries / Clarifications,1,1,2025-12-08 04:25:00
49,9,internal,manual,Upload Response to Queries,2,1,2025-12-08 04:25:00
50,9,internal,manual,Upload Fee Receipt (if applicable),3,1,2025-12-08 04:25:00
51,9,internal,manual,IRB Submission Date,4,1,2025-12-08 04:25:00
52,9,internal,manual,IBC Submission,5,1,2025-12-08 04:25:00
53,10,internal,manual,ICF translations IRB submission,1,1,2025-12-08 04:25:00
54,10,internal,manual,ICF translation IRB Approval,2,1,2025-12-08 04:25:00
55,10,internal,manual,Questionnaire translation IRB submission,3,1,2025-12-08 04:25:00
56,10,internal,manual,Questionnaire translation IRB Approval,4,1,2025-12-08 04:25:00
57,11,internal,manual,Upload IRB Approval Letter,1,1,2025-12-08 04:25:00
58,11,internal,manual,Enter IRB Approval Date,2,1,2025-12-08 04:25:00
59,11,internal,manual,Enter IBC Approval Date,3,1,2025-12-08 04:25:00
60,11,internal,manual,Upload MoH Approval Letter (if applicable),4,1,2025-12-08 04:25:00
61,11,internal,manual,Enter Approval Expiration Date,5,1,2025-12-08 04:25:00
62,12,internal,manual,Upload Approved ICF,1,1,2025-12-08 04:25:00
63,12,internal,manual,Confirm all approved documents are uploaded,2,1,2025-12-08 04:25:00
64,12,internal,manual,Verify alignment with the latest protocol version,3,1,2025-12-08 04:25:00
65,13,internal,auto,Upload Draft CTA,1,1,2025-12-08 04:27:01
66,13,internal,auto,Send CTA to Site,2,1,2025-12-08 04:27:01
67,13,internal,auto,Review Site Redlines,3,1,2025-12-08 04:27:01
68,13,internal,auto,Resolve Contract Comments,4,1,2025-12-08 04:27:01
69,13,internal,auto,Upload Final CTA,5,1,2025-12-08 04:27:01
70,13,internal,auto,Upload Fully Executed CTA,6,1,2025-12-08 04:27:01
71,14,internal,auto,Check / Upload PI CV,1,1,2025-12-08 04:27:13
72,14,internal,auto,Check / Upload PI Medical License,2,1,2025-12-08 04:27:13
73,14,internal,auto,Check / Upload PI GCP Certificate,3,1,2025-12-08 04:27:13
74,14,internal,auto,Check / Upload Financial Disclosure Form,4,1,2025-12-08 04:27:13
75,14,internal,auto,Check / Upload Protocol Signature Page,5,1,2025-12-08 04:27:13
76,15,internal,auto,Check / Upload Sub-I CV(s),1,1,2025-12-08 04:27:13
77,15,internal,auto,Check / Upload Sub-I Medical License(s),2,1,2025-12-08 04:27:13
78,15,internal,auto,Check / Upload GCP Certificates,3,1,2025-12-08 04:27:13
79,16,internal,auto,Check / Upload Study Coordinator CV,1,1,2025-12-08 04:27:13
80,16,internal,auto,Check / Upload Study Coordinator Training Records,2,1,2025-12-08 04:27:13
81,17,internal,auto,"Upload Completed"" 1572,1,1,,0,1,1,1,2025-12-08 04:27:13
82,17,REG_UPLOAD_IRB_ROSTER,""Upload IRB Roster (if required)",2,1,2025-12-08 04:27:13
83,17,internal,auto,Upload Site SOP List,3,1,2025-12-08 04:27:13
84,17,internal,auto,Upload Laboratory Certifications,4,1,2025-12-08 04:27:13
85,17,internal,auto,Upload Delegation of Authority (if preliminary version exists),5,1,2025-12-08 04:27:13
86,18,internal,auto,Verify Document Completeness,1,1,2025-12-08 04:27:13
87,18,internal,auto,Approve Essential Document Packet,2,1,2025-12-08 04:27:13
88,19,internal,auto,Generate DOA Log Template,1,1,2025-12-08 04:27:13
